,10 Hz,20 Hz,40 Hz,100 Hz
area95_EC,0.6511111111111111,0.6711111111111111,0.6711111111111111,0.6711111111111111
area95_EO,0.40888888888888897,0.40888888888888897,0.40666666666666673,0.40666666666666673
swayarea_EC,0.7288888888888889,0.66,0.6777777777777778,0.6533333333333333
swayarea_EO,0.35555555555555557,0.3822222222222222,0.42000000000000004,0.4177777777777778
area95_majoraxis_angle_EC,0.4311111111111111,0.42000000000000004,0.4111111111111111,0.41555555555555557
area95_majoraxis_angle_EO,0.5933333333333334,0.5933333333333333,0.5822222222222222,0.58
area95_majoraxis_length_EC,0.86,0.86,0.86,0.86
area95_majoraxis_length_EO,0.5866666666666667,0.5933333333333334,0.5933333333333334,0.5844444444444445
pathlength_EC,0.6911111111111111,0.6688888888888889,0.6511111111111112,0.6444444444444446
pathlength_EO,0.31333333333333335,0.36444444444444446,0.3711111111111111,0.33555555555555555
pathlength_ML_EC,0.7844444444444444,0.7911111111111111,0.6866666666666668,0.691111111111111
pathlength_ML_EO,0.4800000000000001,0.42666666666666664,0.37555555555555553,0.3222222222222222
pathlength_AP_EC,0.7111111111111111,0.6955555555555556,0.6022222222222222,0.62
pathlength_AP_EO,0.5666666666666667,0.5155555555555555,0.5377777777777778,0.49333333333333335
rms_displacement_EC,0.7044444444444444,0.6933333333333334,0.7044444444444444,0.7044444444444444
rms_displacement_EO,0.5888888888888889,0.5800000000000001,0.5600000000000002,0.5600000000000002
rms_displacement_ML_EC,0.5577777777777778,0.5533333333333333,0.5555555555555556,0.5555555555555556
rms_displacement_ML_EO,0.44666666666666666,0.4555555555555556,0.4555555555555556,0.45777777777777784
rms_displacement_AP_EC,0.7955555555555555,0.8133333333333332,0.8088888888888889,0.8088888888888889
rms_displacement_AP_EO,0.6377777777777778,0.6733333333333333,0.6733333333333333,0.6755555555555556
avg_displacement_EC,0.6222222222222223,0.6222222222222223,0.6222222222222223,0.6222222222222223
avg_displacement_EO,0.5199999999999999,0.5288888888888887,0.531111111111111,0.531111111111111
avg_displacement_ML_EC,0.6799999999999999,0.5622222222222223,0.6311111111111111,0.6266666666666667
avg_displacement_ML_EO,0.49777777777777776,0.5555555555555556,0.5555555555555556,0.5599999999999999
avg_displacement_AP_EC,0.6044444444444446,0.6155555555555556,0.6244444444444445,0.6177777777777779
avg_displacement_AP_EO,0.3777777777777778,0.40666666666666673,0.38888888888888895,0.3866666666666667
displacement_range_ML_EC,0.6377777777777779,0.6533333333333334,0.6577777777777778,0.6622222222222223
displacement_range_ML_EO,0.4911111111111112,0.47555555555555545,0.4688888888888888,0.4733333333333333
displacement_range_AP_EC,0.831111111111111,0.8,0.8177777777777777,0.8111111111111111
displacement_range_AP_EO,0.54,0.48888888888888893,0.44222222222222224,0.4511111111111112
peak_displacement_ML_EC,0.7066666666666667,0.7,0.6888888888888889,0.6844444444444444
peak_displacement_ML_EO,0.5022222222222223,0.5266666666666667,0.5400000000000001,0.5422222222222224
peak_displacement_AP_EC,0.7822222222222222,0.7977777777777777,0.8088888888888889,0.8088888888888889
peak_displacement_AP_EO,0.4377777777777778,0.3511111111111111,0.38888888888888895,0.40888888888888886
peak_displacement_forward_EC,0.6599999999999999,0.7111111111111111,0.72,0.72
peak_displacement_forward_EO,0.3955555555555556,0.4311111111111111,0.44666666666666666,0.4444444444444445
peak_displacement_backward_EC,0.8800000000000001,0.8555555555555555,0.8688888888888888,0.8755555555555556
peak_displacement_backward_EO,0.4022222222222222,0.4177777777777778,0.40444444444444444,0.4133333333333334
